KSH,OLD_ZYMC,NEW_ZYMC,NJ
903929,语言文学类18,语言文学类14,2012
903936,工科大类03,政法类03,2012
903959,语言文学类18,工商管理类01,2012
903962,生命科学类03,交叉学科类05,2012
903971,生命科学类28,生命科学类20,2012
903978,数学类04,数学类01,2012
903989,数学类04,数学类01,2012
903993,数学类04,数学类01,2012
903994,政法类06,工商管理类08,2012
903997,生命科学类28,生命科学类20,2012
903912,数学类04,数学类02,2012
904009,语言文学类18,语言文学类14,2012
903862,物理学类01,工科大类25,2012
903858,交叉学科类10,交叉学科类02,2012
903750,数学类04,数学类01,2012
903754,政法类02,政法类03,2012
903755,交叉学科类21,交叉学科类05,2012
903758,生命科学类02,生命科学类01,2012
903764,交叉学科类17,工科大类25,2012
903766,生命科学类10,生命科学类15,2012
903768,生命科学类01,数学类01,2012
903773,工商管理类04,数学类01,2012
903776,仪器仪表类02,政法类06,2012
903780,化学类09,工商管理类21,2012
903781,语言文学类18,语言文学类14,2012
903785,物理学类01,工商管理类09,2012
903860,交叉学科类21,交叉学科类05,2012
903793,生命科学类28,生命科学类20,2012
903802,工商管理类09,语言文学类01,2012
903804,生命科学类28,生命科学类20,2012
903809,数学类04,数学类02,2012
903817,生命科学类28,生命科学类20,2012
903822,交叉学科类10,工商管理类09,2012
903830,语言文学类18,语言文学类14,2012
902280,数学类04,数学类01,2012
903840,数学类04,数学类02,2012
903846,语言文学类18,语言文学类14,2012
903849,工商管理类08,化学类01,2012
903854,政法类09,政法类06,2012
903856,语言文学类05,语言文学类02,2012
903794,语言文学类05,工商管理类09,2012
904013,化学类01,语言文学类16,2012
904015,生命科学类28,生命科学类20,2012
904016,数学类04,数学类02,2012
904150,语言文学类18,语言文学类14,2012
904151,语言文学类18,语言文学类14,2012
904154,语言文学类04,语言文学类12,2012
904155,工商管理类04,工商管理类21,2012
904159,生命科学类28,生命科学类20,2012
904162,化学类01,政法类06,2012
904169,交叉学科类14,机械类01,2012
904173,语言文学类18,语言文学类14,2012
904175,生命科学类28,生命科学类20,2012
904184,工科大类10,工科大类03,2012
904186,生命科学类28,生命科学类20,2012
904209,语言文学类01,政法类06,2012
904147,化学类09,工科大类24,2012
904218,语言文学类18,语言文学类14,2012
904224,数学类04,数学类01,2012
904231,工科大类16,工商管理类21,2012
904232,语言文学类15,工商管理类21,2012
904237,生命科学类03,交叉学科类18,2012
904244,语言文学类18,语言文学类14,2012
904250,工商管理类22,工商管理类21,2012
904258,生命科学类28,生命科学类20,2012
904259,生命科学类28,生命科学类20,2012
904260,数学类04,数学类01,2012
904272,物理学类02,语言文学类01,2012
904275,交叉学科类14,政法类06,2012
904280,生命科学类28,工科大类03,2012
904219,语言文学类16,工商管理类01,2012
904140,化学类01,语言文学类16,2012
904139,化学类01,语言文学类16,2012
904133,语言文学类18,语言文学类12,2012
904030,政法类02,语言文学类03,2012
904032,生命科学类28,生命科学类20,2012
904041,语言文学类18,语言文学类14,2012
904045,生命科学类28,生命科学类20,2012
904050,物理学类01,工科大类03,2012
904051,化学类02,交叉学科类18,2012
904054,工商管理类22,工商管理类21,2012
904057,语言文学类16,语言文学类14,2012
904058,生命科学类03,生命科学类01,2012
904060,语言文学类18,语言文学类14,2012
904071,生命科学类28,生命科学类20,2012
904072,生命科学类28,生命科学类20,2012
904073,工商管理类04,机械类01,2012
904077,工科大类23,政法类06,2012
904079,语言文学类18,语言文学类14,2012
904090,工科大类10,工商管理类21,2012
904092,语言文学类16,语言文学类01,2012
904093,语言文学类18,语言文学类14,2012
904098,数学类04,数学类01,2012
904102,生命科学类01,工商管理类09,2012
904103,数学类04,数学类01,2012
904104,数学类04,数学类02,2012
904117,工商管理类22,工商管理类21,2012
904122,交叉学科类14,工商管理类21,2012
904123,数学类04,工商管理类01,2012
904130,生命科学类02,语言文学类16,2012
904131,化学类07,工商管理类08,2012
903744,政法类03,政法类06,2012
903221,生命科学类28,生命科学类20,2012
903731,物理学类01,工科大类15,2012
903721,政法类09,政法类06,2012
903371,生命科学类28,生命科学类20,2012
903375,语言文学类04,工商管理类01,2012
903378,工商管理类14,工商管理类21,2012
903379,生命科学类28,生命科学类22,2012
903384,生命科学类02,生命科学类01,2012
903386,数学类04,数学类02,2012
903387,工商管理类20,工商管理类01,2012
903388,政法类02,工科大类03,2012
903389,语言文学类18,工科大类03,2012
903392,语言文学类18,语言文学类12,2012
903396,工科大类10,交叉学科类17,2012
903397,工商管理类12,语言文学类14,2012
903365,生命科学类28,生命科学类20,2012
903403,工商管理类02,工商管理类21,2012
903407,交叉学科类05,政法类03,2012
903418,生命科学类10,生命科学类13,2012
903423,工商管理类02,工商管理类01,2012
903427,物理学类02,工商管理类09,2012
903438,政法类02,政法类06,2012
903443,交叉学科类23,工科大类03,2012
903446,生命科学类28,生命科学类22,2012
903447,语言文学类03,语言文学类16,2012
903448,交叉学科类23,工科大类03,2012
903456,语言文学类18,语言文学类12,2012
903457,语言文学类01,工商管理类21,2012
903461,工科大类23,工科大类24,2012
903404,生命科学类17,工科大类03,2012
903468,语言文学类18,语言文学类14,2012
903361,数学类04,数学类02,2012
903347,语言文学类18,交叉学科类17,2012
903228,生命科学类02,生命科学类01,2012
903236,生命科学类28,生命科学类22,2012
903239,生命科学类10,物理学类04,2012
903245,语言文学类18,语言文学类14,2012
903248,政法类03,语言文学类16,2012
903249,化学类01,化学类02,2012
903251,数学类04,数学类01,2012
903257,语言文学类18,语言文学类14,2012
903258,语言文学类18,语言文学类14,2012
903260,工商管理类09,工科大类03,2012
903267,语言文学类18,语言文学类14,2012
903268,语言文学类18,语言文学类14,2012
903350,数学类04,数学类01,2012
903273,交叉学科类14,工商管理类21,2012
903276,交叉学科类10,工商管理类21,2012
903277,交叉学科类10,工商管理类21,2012
903290,生命科学类02,生命科学类01,2012
903294,生命科学类28,工商管理类01,2012
903298,生命科学类28,生命科学类20,2012
903301,生命科学类03,工科大类23,2012
903315,数学类04,数学类02,2012
903318,交叉学科类23,工科大类03,2012
903319,数学类04,数学类01,2012
903320,语言文学类18,语言文学类12,2012
903323,生命科学类01,工科大类03,2012
903339,生命科学类02,生命科学类01,2012
903275,生命科学类28,生命科学类20,2012
903473,工科大类25,工科大类03,2012
903477,工商管理类04,工科大类03,2012
903489,化学类02,生命科学类20,2012
903616,化学类02,物理学类02,2012
903619,交叉学科类21,交叉学科类05,2012
903621,生命科学类02,生命科学类01,2012
903629,政法类09,政法类06,2012
903633,数学类04,数学类01,2012
903637,政法类09,政法类06,2012
903638,语言文学类18,语言文学类14,2012
903640,生命科学类28,生命科学类20,2012
903644,交叉学科类21,交叉学科类05,2012
903648,交叉学科类21,交叉学科类05,2012
903660,交叉学科类21,交叉学科类05,2012
903661,政法类09,政法类06,2012
903615,政法类09,政法类06,2012
903667,政法类09,政法类06,2012
903672,政法类09,政法类06,2012
903675,政法类09,政法类06,2012
903679,政法类09,政法类06,2012
903687,社会学类01,工商管理类01,2012
903693,生命科学类02,生命科学类01,2012
903696,工商管理类04,工商管理类21,2012
903698,生命科学类28,生命科学类20,2012
903709,生命科学类28,交叉学科类18,2012
903711,工科大类10,工科大类15,2012
903713,交叉学科类21,交叉学科类05,2012
903718,数学类04,数学类01,2012
903720,生命科学类28,生命科学类22,2012
903668,语言文学类15,数学类01,2012
903614,政法类09,政法类06,2012
903613,语言文学类18,语言文学类01,2012
903609,数学类04,数学类01,2012
903491,工商管理类12,工科大类10,2012
903492,语言文学类18,语言文学类12,2012
903506,交叉学科类02,语言文学类16,2012
903509,生命科学类03,工商管理类21,2012
903512,语言文学类05,工商管理类20,2012
903517,化学类01,工科大类15,2012
903518,语言文学类18,语言文学类14,2012
903520,社会学类01,机械类03,2012
903543,生命科学类28,生命科学类20,2012
903546,工科大类25,工商管理类09,2012
903555,生命科学类01,工商管理类21,2012
903556,生命科学类13,工科大类03,2012
903559,数学类04,数学类02,2012
903562,交叉学科类10,政法类06,2012
903565,工商管理类04,语言文学类14,2012
903575,生命科学类28,生命科学类20,2012
903582,交叉学科类13,工科大类10,2012
903584,生命科学类28,生命科学类20,2012
903590,数学类04,交叉学科类17,2012
903591,生命科学类10,生命科学类13,2012
903593,工科大类10,工商管理类14,2012
903594,交叉学科类10,语言文学类01,2012
903596,交叉学科类23,语言文学类15,2012
903598,生命科学类02,生命科学类20,2012
903601,工商管理类04,语言文学类12,2012
903603,交叉学科类05,工商管理类20,2012
903606,语言文学类18,语言文学类14,2012
903727,交叉学科类21,交叉学科类05,2012
902272,工商管理类14,工商管理类21,2012
902485,政法类09,政法类06,2012
902270,交叉学科类21,交叉学科类05,2012
901153,生命科学类28,物理学类04,2012
901154,语言文学类18,语言文学类14,2012
901156,生命科学类28,生命科学类22,2012
901157,生命科学类28,生命科学类22,2012
901172,交叉学科类21,交叉学科类05,2012
901176,语言文学类18,社会学类03,2012
901178,交叉学科类21,交叉学科类05,2012
901196,生命科学类28,生命科学类20,2012
901200,机械类01,工科大类03,2012
901203,语言文学类18,语言文学类12,2012
901205,生命科学类28,生命科学类20,2012
901206,语言文学类04,政法类06,2012
901148,工商管理类04,工商管理类01,2012
901211,交叉学科类21,交叉学科类05,2012
901220,生命科学类28,生命科学类20,2012
901222,政法类09,政法类06,2012
901231,语言文学类18,语言文学类12,2012
901235,语言文学类16,工科大类03,2012
901236,化学类09,交叉学科类02,2012
901240,社会学类01,机械类01,2012
901244,数学类04,数学类01,2012
901245,生命科学类28,生命科学类20,2012
901254,生命科学类28,生命科学类20,2012
901255,语言文学类18,语言文学类14,2012
901259,语言文学类18,语言文学类14,2012
901265,数学类04,数学类01,2012
901216,交叉学科类21,交叉学科类05,2012
901266,物理学类02,工科大类03,2012
901142,工科大类16,工商管理类01,2012
901134,生命科学类01,物理学类02,2012
901014,交叉学科类21,交叉学科类05,2012
901017,交叉学科类21,交叉学科类05,2012
901029,政法类09,政法类06,2012
901031,交叉学科类21,交叉学科类05,2012
901034,交叉学科类21,交叉学科类05,2012
901035,政法类09,政法类06,2012
901036,生命科学类13,生命科学类15,2012
901044,政法类09,政法类06,2012
901046,政法类09,政法类06,2012
901048,政法类09,政法类06,2012
901050,政法类09,政法类06,2012
901056,交叉学科类21,交叉学科类05,2012
901135,语言文学类18,语言文学类12,2012
901068,语言文学类04,工商管理类21,2012
901077,生命科学类28,生命科学类13,2012
901079,生命科学类28,生命科学类22,2012
901087,政法类09,政法类06,2012
901091,交叉学科类21,交叉学科类05,2012
901095,数学类04,数学类02,2012
901097,数学类04,数学类02,2012
901107,语言文学类03,工商管理类09,2012
901109,仪器仪表类02,工商管理类21,2012
901114,生命科学类10,工科大类24,2012
901126,工商管理类14,工商管理类21,2012
901128,政法类09,政法类06,2012
901131,数学类04,数学类02,2012
901072,交叉学科类21,交叉学科类05,2012
901011,语言文学类02,语言文学类04,2012
901268,工科大类23,工科大类24,2012
901283,工商管理类02,工商管理类01,2012
901403,政法类09,政法类06,2012
901406,政法类09,政法类06,2012
901408,交叉学科类23,生命科学类01,2012
901409,语言文学类04,语言文学类01,2012
901416,数学类04,数学类01,2012
901418,数学类04,数学类01,2012
901419,语言文学类18,语言文学类14,2012
901420,语言文学类18,语言文学类12,2012
901423,数学类04,数学类01,2012
901428,交叉学科类14,交叉学科类05,2012
901432,交叉学科类14,工商管理类21,2012
901433,机械类01,工科大类24,2012
901401,交叉学科类13,工商管理类02,2012
901437,政法类09,政法类06,2012
901439,交叉学科类21,交叉学科类05,2012
901441,数学类04,数学类01,2012
901447,政法类09,政法类06,2012
901448,交叉学科类14,生命科学类17,2012
901449,政法类09,政法类06,2012
901452,工科大类23,政法类06,2012
901453,交叉学科类21,交叉学科类05,2012
901454,语言文学类05,工商管理类20,2012
901459,语言文学类18,语言文学类12,2012
901461,政法类09,政法类06,2012
901462,语言文学类18,语言文学类14,2012
901467,政法类09,政法类06,2012
901438,物理学类02,语言文学类01,2012
901270,数学类04,数学类01,2012
901398,工科大类24,工商管理类21,2012
901392,语言文学类05,语言文学类03,2012
901288,生命科学类28,生命科学类22,2012
901290,数学类04,数学类02,2012
901291,社会学类01,机械类03,2012
901303,生命科学类28,生命科学类20,2012
901305,数学类04,数学类02,2012
901307,交叉学科类10,仪器仪表类02,2012
901313,生命科学类28,生命科学类20,2012
901316,语言文学类18,语言文学类14,2012
901320,机械类03,语言文学类16,2012
901324,数学类04,数学类01,2012
901328,语言文学类18,语言文学类12,2012
901332,生命科学类28,生命科学类20,2012
901395,政法类09,政法类06,2012
901333,生命科学类28,生命科学类20,2012
901337,政法类09,政法类06,2012
901344,政法类09,政法类06,2012
901345,交叉学科类23,交叉学科类05,2012
901352,政法类09,政法类06,2012
901354,交叉学科类21,交叉学科类05,2012
901365,物理学类04,工商管理类20,2012
901373,政法类09,政法类06,2012
901379,政法类09,政法类06,2012
901380,生命科学类28,生命科学类22,2012
901387,语言文学类01,语言文学类02,2012
901388,交叉学科类21,交叉学科类05,2012
901391,生命科学类28,生命科学类22,2012
901336,工商管理类02,工商管理类21,2012
901474,语言文学类18,语言文学类14,2012
901009,政法类09,政法类06,2012
901006,生命科学类28,生命科学类20,2012
899770,机械类03,工商管理类21,2012
899795,化学类01,机械类01,2012
897841,语言文学类04,语言文学类05,2012
899819,生命科学类28,生命科学类22,2012
899821,语言文学类18,语言文学类14,2012
897805,语言文学类18,语言文学类05,2012
899836,生命科学类15,工科大类03,2012
899846,机械类03,物理学类01,2012
899887,工商管理类02,工科大类23,2012
899899,工科大类10,工科大类03,2012
897666,机械类03,生命科学类01,2012
899970,生命科学类02,语言文学类04,2012
899767,化学类08,化学类07,2012
899974,工科大类03,语言文学类02,2012
899994,交叉学科类05,语言文学类16,2012
897635,社会学类01,交叉学科类17,2012
897560,交叉学科类10,生命科学类01,2012
900101,物理学类04,语言文学类01,2012
897484,化学类08,化学类07,2012
900150,交叉学科类14,机械类03,2012
897436,语言文学类16,语言文学类15,2012
900252,物理学类04,语言文学类16,2012
897325,交叉学科类17,语言文学类04,2012
900291,化学类09,机械类03,2012
900293,物理学类01,物理学类04,2012
900303,语言文学类05,语言文学类04,2012
899982,语言文学类18,语言文学类12,2012
900324,生命科学类10,生命科学类13,2012
897886,生命科学类13,工商管理类08,2012
899711,生命科学类28,语言文学类16,2012
902271,政法类09,政法类06,2012
898626,化学类01,工科大类10,2012
898579,语言文学类18,语言文学类02,2012
898747,交叉学科类23,工科大类03,2012
898520,生命科学类13,语言文学类04,2012
898490,交叉学科类22,工商管理类02,2012
898854,语言文学类18,工商管理类21,2012
898898,语言文学类02,工商管理类21,2012
898962,交叉学科类10,机械类03,2012
898362,工商管理类02,工商管理类21,2012
899051,生命科学类10,工科大类03,2012
898321,数学类04,数学类02,2012
897896,语言文学类18,语言文学类02,2012
899112,工科大类03,语言文学类16,2012
898304,工商管理类12,工科大类10,2012
898287,政法类02,工科大类03,2012
899189,语言文学类04,机械类03,2012
898196,交叉学科类13,工科大类03,2012
899283,工科大类10,工商管理类09,2012
899318,数学类04,数学类01,2012
899382,生命科学类28,生命科学类22,2012
898104,化学类08,化学类07,2012
898014,生命科学类01,语言文学类01,2012
898004,政法类03,数学类02,2012
899640,生命科学类28,生命科学类20,2012
899679,生命科学类03,数学类01,2012
898313,语言文学类04,物理学类01,2012
901008,生命科学类13,工科大类15,2012
900350,生命科学类28,生命科学类22,2012
897237,政法类01,交叉学科类13,2012
894601,工商管理类04,仪器仪表类02,2012
900690,交叉学科类14,语言文学类15,2012
900694,化学类01,工商管理类09,2012
894251,工科大类25,政法类06,2012
900725,化学类08,语言文学类16,2012
894170,语言文学类05,化学类01,2012
894100,政法类06,工商管理类08,2012
900760,政法类01,语言文学类01,2012
894027,语言文学类15,交叉学科类05,2012
900766,物理学类01,工商管理类09,2012
900775,生命科学类02,工商管理类09,2012
900782,工科大类24,工商管理类21,2012
900679,政法类02,化学类07,2012
900785,语言文学类18,语言文学类12,2012
900853,工商管理类04,语言文学类02,2012
900864,语言文学类18,语言文学类16,2012
900866,工商管理类04,语言文学类12,2012
900878,交叉学科类14,工商管理类21,2012
900885,工商管理类22,工科大类03,2012
900893,生命科学类28,生命科学类22,2012
900901,生命科学类28,生命科学类22,2012
900955,政法类03,工商管理类21,2012
890331,生命科学类20,工科大类03,2012
900993,交叉学科类10,机械类03,2012
901004,工科大类25,工商管理类01,2012
901005,政法类09,政法类06,2012
900817,语言文学类18,语言文学类02,2012
897239,政法类01,语言文学类05,2012
894759,化学类01,生命科学类13,2012
894880,化学类08,化学类07,2012
900360,政法类01,语言文学类04,2012
897212,生命科学类17,政法类06,2012
897210,工科大类24,语言文学类02,2012
900416,语言文学类05,语言文学类02,2012
897040,物理学类04,语言文学类01,2012
897021,工科大类03,语言文学类12,2012
900439,语言文学类18,语言文学类14,2012
896949,交叉学科类05,语言文学类15,2012
896913,语言文学类05,政法类03,2012
896872,物理学类01,物理学类04,2012
896690,生命科学类20,语言文学类02,2012
896546,语言文学类05,语言文学类03,2012
900669,生命科学类01,工科大类24,2012
896411,语言文学类03,语言文学类01,2012
900530,交叉学科类14,生命科学类17,2012
900534,交叉学科类10,机械类03,2012
900542,数学类04,数学类01,2012
896241,数学类02,语言文学类05,2012
896198,社会学类01,物理学类01,2012
900567,政法类03,工科大类10,2012
900576,交叉学科类18,工科大类10,2012
896013,物理学类04,工科大类03,2012
895383,语言文学类18,语言文学类12,2012
900628,语言文学类01,语言文学类04,2012
900648,化学类02,语言文学类04,2012
900652,语言文学类05,语言文学类15,2012
896397,语言文学类15,交叉学科类17,2012
901475,语言文学类18,语言文学类14,2012
901707,生命科学类13,工商管理类21,2012
901481,工商管理类14,工商管理类21,2012
901983,语言文学类03,工商管理类02,2012
901985,语言文学类18,语言文学类14,2012
901991,工科大类16,工商管理类01,2012
901995,语言文学类18,语言文学类14,2012
901996,交叉学科类21,交叉学科类05,2012
901998,政法类09,政法类06,2012
902004,政法类09,政法类06,2012
902015,工商管理类14,工商管理类21,2012
902017,交叉学科类21,交叉学科类05,2012
902021,工商管理类09,工商管理类21,2012
902022,生命科学类28,生命科学类20,2012
902027,化学类01,数学类01,2012
901981,生命科学类28,工商管理类21,2012
902029,交叉学科类05,工商管理类01,2012
902036,语言文学类18,工商管理类21,2012
902039,工商管理类14,工商管理类01,2012
902046,政法类09,政法类06,2012
902048,政法类09,政法类06,2012
902056,交叉学科类21,交叉学科类05,2012
902058,交叉学科类21,交叉学科类05,2012
902063,政法类06,工商管理类01,2012
902071,交叉学科类21,交叉学科类05,2012
902075,数学类04,数学类01,2012
902078,交叉学科类21,交叉学科类05,2012
902080,政法类09,政法类06,2012
902083,政法类09,政法类06,2012
902035,交叉学科类21,交叉学科类05,2012
902091,生命科学类10,工商管理类21,2012
901980,语言文学类18,语言文学类14,2012
901972,政法类09,政法类06,2012
901899,机械类03,工商管理类21,2012
901917,生命科学类02,生命科学类01,2012
901923,生命科学类28,生命科学类20,2012
901925,生命科学类02,仪器仪表类02,2012
901926,数学类04,数学类02,2012
901934,数学类04,数学类02,2012
901935,政法类03,工商管理类01,2012
901936,政法类09,政法类06,2012
901939,生命科学类02,生命科学类01,2012
901941,工商管理类14,工商管理类21,2012
901942,物理学类02,工商管理类21,2012
901944,交叉学科类21,交叉学科类05,2012
901979,语言文学类18,语言文学类14,2012
901945,政法类09,政法类06,2012
901949,交叉学科类21,交叉学科类05,2012
901952,交叉学科类21,交叉学科类05,2012
901954,数学类04,数学类02,2012
901957,语言文学类18,语言文学类14,2012
901958,政法类09,政法类06,2012
901959,政法类09,政法类06,2012
901963,政法类09,政法类06,2012
901964,政法类09,政法类06,2012
901966,生命科学类02,生命科学类01,2012
901968,交叉学科类21,交叉学科类05,2012
901969,交叉学科类23,工商管理类21,2012
901970,工科大类03,政法类03,2012
901947,交叉学科类21,交叉学科类05,2012
901894,语言文学类18,语言文学类14,2012
902098,政法类09,政法类06,2012
902103,语言文学类18,语言文学类12,2012
902190,政法类03,工商管理类01,2012
902191,交叉学科类14,工商管理类21,2012
902192,政法类09,政法类06,2012
902197,工商管理类20,工商管理类21,2012
902200,政法类09,政法类06,2012
902201,交叉学科类10,工科大类03,2012
902206,政法类02,工商管理类01,2012
902207,语言文学类05,语言文学类12,2012
902210,机械类03,工商管理类21,2012
902213,交叉学科类17,工商管理类01,2012
902214,生命科学类28,生命科学类22,2012
902220,语言文学类18,语言文学类12,2012
902189,数学类04,数学类02,2012
902221,语言文学类18,语言文学类14,2012
902228,交叉学科类13,工科大类03,2012
902230,交叉学科类13,工科大类03,2012
902232,政法类09,政法类06,2012
902244,数学类04,数学类02,2012
902247,交叉学科类18,工商管理类21,2012
902248,数学类04,数学类01,2012
902253,政法类09,政法类06,2012
902259,化学类02,政法类06,2012
902266,交叉学科类21,交叉学科类05,2012
902267,政法类09,政法类06,2012
902269,工商管理类08,工商管理类01,2012
901479,工商管理类20,工商管理类21,2012
902224,政法类09,政法类06,2012
902100,化学类01,工商管理类21,2012
902187,语言文学类01,工商管理类01,2012
902184,数学类04,数学类01,2012
902109,生命科学类02,工商管理类21,2012
902110,数学类04,数学类01,2012
902114,政法类09,政法类06,2012
902122,化学类01,交叉学科类22,2012
902132,生命科学类28,生命科学类20,2012
902136,数学类04,数学类02,2012
902137,政法类09,政法类06,2012
902139,语言文学类05,工商管理类21,2012
902141,化学类07,工商管理类20,2012
902143,交叉学科类21,交叉学科类05,2012
902145,政法类02,工商管理类01,2012
902147,生命科学类28,生命科学类20,2012
902185,机械类03,工商管理类21,2012
902151,语言文学类03,语言文学类12,2012
902154,语言文学类18,语言文学类14,2012
902156,语言文学类05,语言文学类15,2012
902160,数学类04,数学类02,2012
902162,生命科学类02,语言文学类12,2012
902163,语言文学类18,语言文学类14,2012
902165,物理学类02,工科大类03,2012
902166,语言文学类15,工商管理类21,2012
902169,交叉学科类02,物理学类01,2012
902171,生命科学类28,工商管理类01,2012
902173,生命科学类03,工商管理类21,2012
902176,政法类09,政法类06,2012
902178,政法类09,政法类06,2012
902152,语言文学类18,语言文学类14,2012
901893,生命科学类28,生命科学类20,2012
902268,交叉学科类10,工商管理类21,2012
901882,生命科学类28,生命科学类22,2012
901558,生命科学类28,生命科学类20,2012
901561,交叉学科类18,交叉学科类02,2012
901562,语言文学类18,语言文学类12,2012
901569,生命科学类13,工科大类15,2012
901571,工商管理类20,工商管理类21,2012
901572,化学类07,语言文学类01,2012
901574,生命科学类28,生命科学类22,2012
901582,生命科学类28,生命科学类20,2012
901584,数学类04,数学类02,2012
901591,交叉学科类18,语言文学类15,2012
901596,数学类04,数学类01,2012
901600,数学类04,数学类01,2012
901555,生命科学类13,生命科学类14,2012
901605,生命科学类10,工商管理类21,2012
901611,生命科学类02,语言文学类14,2012
901616,数学类04,数学类01,2012
901622,工商管理类02,工科大类03,2012
901627,工商管理类02,工商管理类01,2012
901630,工商管理类20,工商管理类21,2012
901631,生命科学类28,生命科学类20,2012
901633,政法类09,政法类06,2012
901634,政法类09,政法类06,2012
901641,政法类09,政法类06,2012
901644,工商管理类04,机械类01,2012
901645,工科大类24,语言文学类16,2012
901650,政法类09,政法类06,2012
901607,语言文学类18,语言文学类12,2012
901654,生命科学类28,生命科学类20,2012
901554,语言文学类02,语言文学类03,2012
901546,物理学类04,物理学类05,2012
901485,生命科学类15,生命科学类16,2012
901892,生命科学类28,生命科学类22,2012
901487,语言文学类18,语言文学类14,2012
901490,政法类02,工商管理类01,2012
901492,工商管理类20,工商管理类21,2012
901499,工科大类10,数学类02,2012
901504,生命科学类28,生命科学类20,2012
901506,生命科学类02,生命科学类03,2012
901507,生命科学类17,生命科学类18,2012
901508,生命科学类01,生命科学类02,2012
901513,工商管理类14,工商管理类01,2012
901514,生命科学类10,生命科学类11,2012
901551,生命科学类28,生命科学类20,2012
901517,语言文学类01,工商管理类21,2012
901521,生命科学类15,生命科学类16,2012
901522,生命科学类02,生命科学类03,2012
901523,生命科学类01,生命科学类02,2012
901524,工科大类16,工商管理类21,2012
901525,数学类04,数学类01,2012
901526,生命科学类13,工科大类24,2012
901527,生命科学类10,数学类01,2012
901528,物理学类01,物理学类02,2012
901530,仪器仪表类02,仪器仪表类03,2012
901532,生命科学类17,生命科学类18,2012
901537,语言文学类18,语言文学类14,2012
901541,工商管理类20,工商管理类01,2012
901520,交叉学科类10,语言文学类01,2012
901655,生命科学类28,生命科学类20,2012
901491,物理学类01,机械类03,2012
901666,生命科学类28,生命科学类20,2012
901755,数学类04,数学类02,2012
901867,数学类04,数学类02,2012
901758,语言文学类18,语言文学类14,2012
901759,数学类04,数学类01,2012
901766,工科大类04,工科大类03,2012
901770,化学类07,工商管理类01,2012
901776,生命科学类28,生命科学类22,2012
901780,语言文学类18,语言文学类14,2012
901781,生命科学类28,生命科学类20,2012
901792,工科大类25,工科大类03,2012
901794,语言文学类18,工科大类03,2012
901797,仪器仪表类02,工商管理类21,2012
901800,交叉学科类10,语言文学类04,2012
901802,化学类02,工科大类03,2012
901803,数学类04,数学类01,2012
901804,语言文学类03,工商管理类09,2012
901810,生命科学类28,工科大类03,2012
901819,工商管理类21,工商管理类01,2012
901821,工商管理类02,工商管理类21,2012
901823,语言文学类18,语言文学类14,2012
901827,语言文学类18,工商管理类09,2012
901834,语言文学类18,语言文学类12,2012
901835,工商管理类20,工商管理类01,2012
901840,语言文学类16,工商管理类01,2012
901859,生命科学类28,生命科学类20,2012
901665,生命科学类28,生命科学类20,2012
901865,生命科学类28,生命科学类20,2012
901754,数学类04,数学类02,2012
901752,工商管理类14,工商管理类21,2012
901858,工商管理类02,工商管理类01,2012
901743,交叉学科类23,交叉学科类22,2012
901747,工商管理类12,工商管理类21,2012
901673,交叉学科类21,交叉学科类05,2012
901674,交叉学科类13,数学类01,2012
901679,交叉学科类13,工科大类10,2012
901681,交叉学科类21,交叉学科类05,2012
901682,语言文学类05,工商管理类21,2012
901687,数学类04,数学类02,2012
901689,数学类04,数学类02,2012
901694,语言文学类18,语言文学类14,2012
901667,交叉学科类10,交叉学科类02,2012
901698,交叉学科类21,交叉学科类05,2012
901672,交叉学科类21,交叉学科类05,2012
901708,语言文学类02,政法类06,2012
901697,生命科学类28,交叉学科类22,2012
901715,语言文学类03,语言文学类16,2012
901718,生命科学类02,生命科学类01,2012
901738,交叉学科类23,工科大类03,2012
901720,交叉学科类21,交叉学科类05,2012
901721,生命科学类10,生命科学类13,2012
901723,生命科学类13,工商管理类21,2012
901732,政法类02,工商管理类01,2012
901734,语言文学类18,语言文学类14,2012
901735,政法类02,工商管理类21,2012
901714,政法类09,政法类06,2012
901737,语言文学类02,数学类01,2012
911176,化学类02,交叉学科类05,2013
911177,语言文学类05,工商管理类09,2013
911178,生命科学类28,生命科学类20,2013
911180,语言文学类16,工科大类25,2013
911194,语言文学类18,语言文学类12,2013
911191,生命科学类28,生命科学类22,2013
911192,语言文学类18,语言文学类12,2013
911162,交叉学科类23,工科大类03,2013
911193,交叉学科类22,机械类01,2013
911190,交叉学科类21,交叉学科类05,2013
911155,生命科学类28,生命科学类20,2013
911123,数学类04,数学类01,2013
911152,语言文学类18,语言文学类12,2013
911151,生命科学类28,生命科学类20,2013
911143,语言文学类18,工商管理类21,2013
911142,工科大类10,语言文学类16,2013
911141,工商管理类04,政法类06,2013
911140,政法类02,工商管理类20,2013
911136,语言文学类18,语言文学类12,2013
911131,语言文学类18,语言文学类14,2013
911129,政法类02,语言文学类01,2013
911196,语言文学类18,语言文学类12,2013
911120,数学类04,数学类02,2013
911113,工商管理类22,工商管理类21,2013
911106,生命科学类28,生命科学类20,2013
911154,语言文学类18,语言文学类14,2013
911208,工商管理类20,工科大类03,2013
911265,生命科学类03,交叉学科类18,2013
911222,语言文学类15,工科大类04,2013
911327,政法类09,政法类06,2013
911328,语言文学类18,语言文学类14,2013
911329,社会学类01,工科大类24,2013
911330,交叉学科类13,政法类06,2013
