NJ,ZYMC,YHDM
2012,语言文学类05,107173
2012,语言文学类05,111906
2012,语言文学类05,105608
2012,语言文学类05,105612
2012,语言文学类05,107172
2012,语言文学类05,107174
2012,语言文学类05,107171
2012,语言文学类05,111780
2012,语言文学类05,105613
2012,语言文学类05,105624
2012,语言文学类05,105527
2012,语言文学类05,105594
2012,语言文学类05,105614
2012,语言文学类05,105596
2012,语言文学类05,109634
2012,语言文学类05,106263
2012,语言文学类05,105605
2012,语言文学类05,105606
2012,语言文学类05,107170
2012,语言文学类05,105607
2012,语言文学类05,105726
2012,语言文学类05,107175
2012,语言文学类05,105642
2012,语言文学类05,105717
2012,语言文学类05,111922
2012,语言文学类05,105451
2012,语言文学类05,111860
2012,语言文学类05,105441
2012,语言文学类05,105817
2012,语言文学类05,105499
2012,语言文学类05,105627
2012,语言文学类05,105677
2012,语言文学类05,105528
2012,语言文学类05,105600
2012,语言文学类05,106033
2012,语言文学类05,107073
2012,语言文学类05,107076
2012,语言文学类05,107082
2012,语言文学类05,105723
2012,语言文学类05,105434
2012,语言文学类05,109693
2012,语言文学类05,105484
2012,语言文学类05,107917
2012,语言文学类05,105439
2012,语言文学类05,105721
2012,语言文学类05,107081
2012,语言文学类05,105468
2012,语言文学类05,105493
2012,语言文学类05,105583
2012,语言文学类05,106288
2012,语言文学类05,106941
2012,语言文学类05,105563
2012,语言文学类05,106478
2012,语言文学类05,106473
2012,语言文学类05,106479
2012,语言文学类05,106474
2012,语言文学类05,106938
2012,语言文学类05,105492
2012,语言文学类05,107339
2012,语言文学类05,108550
2012,语言文学类05,106634
2012,语言文学类05,105578
2012,语言文学类05,106635
2012,语言文学类05,105488
2012,语言文学类05,105544
2012,语言文学类05,106744
2012,交叉学科类22,105659
2012,语言文学类05,107326
2012,交叉学科类22,105685
2012,交叉学科类22,105681
2012,交叉学科类22,105682
2012,交叉学科类22,107204
2012,交叉学科类22,107201
2012,交叉学科类22,106686
2012,交叉学科类22,105596
2012,交叉学科类22,105430
2012,交叉学科类22,105565
2012,交叉学科类22,105439
2012,交叉学科类22,107147
