NJ,ZYMC,YHDM
2015,生命科学类20,107748
2015,生命科学类20,105544
2015,生命科学类20,105726
2015,生命科学类20,105485
2015,生命科学类20,107855
2015,生命科学类20,107814
2015,生命科学类20,107850
2015,生命科学类20,105478
2015,生命科学类20,106787
2015,生命科学类20,105527
2015,生命科学类20,106395
2015,生命科学类20,107578
2015,生命科学类20,105507
2015,生命科学类20,107813
2015,生命科学类20,107854
2015,生命科学类20,105721
2015,生命科学类20,106592
2015,生命科学类20,105459
2015,生命科学类20,105515
2015,生命科学类20,105754
2015,生命科学类20,107796
2015,生命科学类20,105619
2015,生命科学类20,105435
2015,生命科学类20,105434
2015,生命科学类20,106919
2015,生命科学类20,105476
2015,生命科学类20,107853
2015,生命科学类20,107851
2015,生命科学类20,106047
2015,生命科学类20,107852
2015,生命科学类20,105988
2015,生命科学类20,105626
2015,生命科学类20,105522
2015,生命科学类20,106475
2015,生命科学类20,105524
2015,生命科学类20,107107
2015,生命科学类20,105811
2015,生命科学类20,105499
2015,生命科学类20,105430
2015,生命科学类20,105578
2015,生命科学类20,105484
2015,工商管理类02,105924
2015,工商管理类02,105445
2015,工商管理类02,105497
2015,工商管理类02,105721
2015,工商管理类02,105726
2015,工商管理类02,106114
2015,工商管理类02,105584
2015,工商管理类02,105551
2015,工商管理类02,105988
2015,工商管理类02,105537
2015,工商管理类02,105474
2015,工商管理类02,105544
2015,工商管理类02,105889
2015,工商管理类02,107311
2015,工商管理类02,105962
2015,工商管理类02,106543
2015,工商管理类02,105499
2015,工商管理类02,107794
2015,工商管理类02,105563
2015,工商管理类02,107793
2015,工商管理类02,106632
2015,工商管理类02,106159
2015,工商管理类02,107755
2015,工商管理类02,107727
2015,工商管理类02,105872
2015,工商管理类02,106006
2015,工商管理类02,107160
2015,工商管理类02,105956
2015,工商管理类02,107083
2015,工商管理类02,107159
2015,工商管理类02,106720
2015,工商管理类02,105600
2015,工商管理类02,105546
2015,工商管理类02,105468
2015,工商管理类02,105617
2015,工商管理类02,105877
2015,工商管理类02,105464
2015,工商管理类02,105496
2015,工商管理类02,105876
2015,工商管理类02,107800
2015,工商管理类02,105527
2015,工商管理类02,105434
2015,工商管理类02,105880
2015,工商管理类02,105755
2015,工商管理类02,105609
2015,工商管理类02,105488
2015,生命科学类20,107087
2015,生命科学类20,106262
2015,工商管理类02,106069
2015,工商管理类02,105528
2015,工商管理类02,107158
2015,工商管理类02,30102101224
2015,工商管理类02,105949
2015,工商管理类02,105518
2015,工商管理类02,105615
2015,生命科学类20,107849
2015,生命科学类20,107703
2015,生命科学类20,105755
2015,生命科学类20,105617
2015,生命科学类20,105496
2015,生命科学类20,106682
2015,生命科学类20,106681
2015,生命科学类20,105441
2015,工商管理类02,107344
2015,生命科学类20,106069
2015,生命科学类20,107758
2015,生命科学类20,105734
2015,生命科学类20,105982
2015,生命科学类20,105630
2015,生命科学类20,106101
2015,生命科学类20,105525
2015,生命科学类20,106737
2015,生命科学类20,105534
2015,生命科学类20,105810
2015,生命科学类20,106127
2015,工商管理类02,107345
2015,工科大类32,105464
2015,数学类04,105544
2015,数学类04,105726
2015,数学类04,106990
2015,数学类04,106882
2015,数学类04,106862
2015,数学类04,105999
2015,数学类04,105485
2015,数学类04,105474
2015,数学类04,105721
2015,数学类04,105476
2015,数学类04,106874
2015,数学类04,107364
2015,数学类04,105522
2015,数学类04,106592
2015,数学类04,105497
2015,数学类04,106395
2015,数学类04,107794
2015,数学类04,107793
2015,数学类04,105818
2015,数学类04,105578
2015,数学类04,105494
2015,数学类04,105525
2015,数学类04,107232
2015,数学类04,106103
2015,数学类04,105518
2015,数学类04,105496
2015,数学类04,106988
2015,数学类04,105456
2015,数学类04,105755
2015,数学类04,106069
2015,数学类04,107755
2015,数学类04,107727
2015,数学类04,107673
2015,数学类04,106908
2015,工科大类32,105447
2015,工科大类32,106127
2015,工科大类32,106592
2015,工科大类32,105479
2015,工科大类32,105735
2015,工科大类32,105497
2015,工科大类32,106576
2015,工科大类32,105525
2015,工科大类32,107273
2015,工科大类32,105440
2015,工科大类32,105442
2015,工科大类32,105474
2015,工科大类32,105721
2015,工科大类32,105726
2015,工科大类32,105544
2015,工科大类32,105522
2015,工科大类32,105461
2015,工科大类32,105485
2015,工科大类32,105981
2015,工科大类32,105468
2015,工科大类32,107135
2015,工科大类32,106914
2015,工科大类32,107166
2015,工科大类32,106589
2015,数学类04,105967
2015,工科大类32,106103
2015,工科大类32,105686
2015,工科大类32,105977
2015,工科大类32,105768
2015,工科大类32,106386
2015,工科大类32,107769
2015,工科大类32,106956
2015,工科大类32,105514
2015,工科大类32,107107
2015,数学类04,107344
2015,数学类04,107345
2015,数学类04,105563
2015,数学类04,105962
2015,数学类04,107200
2015,数学类04,107298
2015,数学类04,106681
2015,数学类04,105468
2015,数学类04,105464
2015,数学类04,105644
2015,数学类04,105717
2015,数学类04,105686
2015,数学类04,106185
2015,数学类04,106061
2015,数学类04,107759
2015,数学类04,106589
2015,数学类04,106587
2015,数学类04,105447
2015,数学类04,105963
2015,数学类04,105723
2015,数学类04,105479
2015,数学类04,105520
2015,数学类04,105528
2015,数学类04,105735
2015,数学类04,105430
2015,数学类04,107346
2015,数学类04,105583
2015,数学类04,105643
2015,数学类04,106582
2015,数学类04,106543
2015,工科大类32,105528
2015,数学类04,107216
2015,工商管理类02,107346
2015,工科大类32,105733
2015,工商管理类02,107665
2015,工商管理类02,107664
2015,工商管理类02,105436
2015,工商管理类02,106061
2015,工商管理类02,105723
2015,工商管理类02,105447
2015,工商管理类02,105479
2015,工商管理类02,106862
2015,工商管理类02,107764
2015,工商管理类02,107433
2015,工商管理类02,105476
2015,工商管理类02,105507
2015,工商管理类02,105534
2015,工商管理类02,106882
2015,工商管理类02,106990
2015,工商管理类02,105731
2015,工商管理类02,105525
2015,工商管理类02,106874
2015,工商管理类02,107364
2015,工商管理类02,105461
2015,工商管理类02,106592
2015,工商管理类02,106395
2015,工商管理类02,107430
2015,工商管理类02,105811
2015,工商管理类02,107135
2015,工商管理类02,105522
2015,工商管理类02,107166
2015,工商管理类02,106033
2015,工商管理类02,107156
2015,工商管理类02,105484
2015,工商管理类02,106293
2015,工商管理类02,106956
2015,工商管理类02,105485
2015,工商管理类02,105444
2015,工商管理类02,106185
2015,工商管理类02,105754
2015,工商管理类02,105559
2015,工商管理类02,107324
2015,工商管理类02,105562
2015,工商管理类02,107721
2015,工商管理类02,107770
2015,工商管理类02,105677
2015,工商管理类02,105818
2015,工商管理类02,105471
2015,工商管理类02,107762
2015,工商管理类02,107103
2015,工商管理类02,107102
2015,工商管理类02,106977
2015,工商管理类02,105583
2015,工商管理类02,105662
2015,工商管理类02,107569
2015,工商管理类02,105695
2015,工商管理类02,105442
2015,工商管理类02,105575
2015,工商管理类02,105601
2015,工商管理类02,106290
2015,工科大类32,105499
2015,工科大类32,105620
2015,工科大类32,106988
2015,工科大类32,105456
2015,工科大类32,105687
2015,工科大类32,107130
2015,工科大类32,105430
2015,工科大类32,105755
2015,工科大类32,105435
