NJ,ZYMC,YHDM
2011,语言文学类01,107924
2011,语言文学类01,105726
2011,语言文学类01,105642
2011,语言文学类01,107080
2011,语言文学类01,107063
2011,语言文学类01,107082
2011,语言文学类01,105489
2011,语言文学类01,105471
2011,语言文学类01,105766
2011,语言文学类01,107680
2011,语言文学类01,106263
2011,语言文学类01,105754
2011,语言文学类01,105447
2011,语言文学类01,105449
2011,语言文学类01,106573
2011,语言文学类01,107157
2011,语言文学类01,105544
2011,语言文学类01,107421
2011,语言文学类01,107646
2011,语言文学类01,105434
2011,语言文学类01,109094
2011,语言文学类01,108485
2011,语言文学类01,107911
2011,语言文学类01,107896
2011,语言文学类01,105648
2011,语言文学类01,107519
2011,语言文学类01,107909
2011,语言文学类01,107708
2011,语言文学类01,107882
2011,语言文学类01,105988
2011,语言文学类01,106578
2011,语言文学类01,105894
2011,语言文学类01,106883
2011,语言文学类01,105453
2011,语言文学类01,105452
2011,语言文学类01,105510
2011,语言文学类01,105468
2011,语言文学类01,106577
2011,语言文学类01,107916
2011,语言文学类01,105721
2011,语言文学类01,105563
2011,语言文学类01,108505
2011,语言文学类01,105630
2011,语言文学类01,105715
2011,语言文学类01,105485
2011,语言文学类01,105481
2011,语言文学类01,108210
2011,语言文学类01,107074
2011,语言文学类01,105619
2011,语言文学类01,107324
2011,语言文学类01,105677
2011,语言文学类01,105767
2011,语言文学类01,107182
2011,语言文学类01,105436
2011,语言文学类01,105430
2011,语言文学类01,108108
2011,语言文学类01,108111
2011,语言文学类01,108133
2011,语言文学类01,106101
2011,语言文学类01,107921
2011,语言文学类01,105534
2011,语言文学类01,107905
2011,语言文学类01,107077
2011,语言文学类01,105602
2011,语言文学类01,107992
2011,语言文学类01,108640
2011,语言文学类01,107686
2011,语言文学类01,107684
2011,语言文学类01,107996
2011,语言文学类01,105749
2011,语言文学类01,108535
2011,语言文学类01,107683
2011,语言文学类01,105748
2011,语言文学类01,107681
2011,语言文学类01,108060
2011,语言文学类01,107550
2011,语言文学类01,105981
2011,语言文学类01,106118
2011,语言文学类01,107568
2011,语言文学类01,107679
2011,语言文学类01,107567
2011,语言文学类01,106290
2011,语言文学类01,105683
2011,社会学类03,105488
2011,社会学类03,107085
2011,社会学类03,107092
2011,社会学类03,105683
2011,生命科学类17,106616
2011,社会学类03,105464
2011,社会学类03,105528
2011,社会学类03,107099
2011,社会学类03,107586
2011,社会学类03,107104
2011,社会学类03,106975
